"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","20,705.00","21,050.00","21,050.00","20,640.00","0.70K","-0.93%"
"29-04-2026","20,900.00","20,620.00","21,105.00","20,460.00","1.35K","1.70%"
"28-04-2026","20,550.00","20,300.00","20,590.00","20,300.00","0.75K","1.11%"
"27-04-2026","20,325.00","21,145.00","21,145.00","20,165.00","2.79K","-3.63%"
"24-04-2026","21,090.00","21,430.00","21,430.00","21,060.00","0.85K","-1.33%"
"23-04-2026","21,375.00","21,365.00","21,410.00","21,200.00","0.72K","0.05%"
"22-04-2026","21,365.00","21,885.00","21,885.00","21,300.00","0.73K","-1.82%"
"21-04-2026","21,760.00","21,890.00","22,050.00","21,670.00","0.84K","0.12%"
"20-04-2026","21,735.00","22,030.00","22,180.00","21,700.00","1.54K","-0.98%"
"17-04-2026","21,950.00","21,690.00","22,000.00","21,660.00","1.52K","1.55%"
"16-04-2026","21,615.00","21,810.00","21,890.00","21,540.00","2.97K","-1.05%"
"15-04-2026","21,845.00","21,980.00","22,080.00","21,800.00","2.57K","0.05%"
"13-04-2026","21,835.00","21,900.00","22,000.00","21,675.00","3.03K","-0.84%"
"10-04-2026","22,020.00","22,110.00","22,320.00","21,800.00","2.60K","-1.48%"
"09-04-2026","22,350.00","22,600.00","22,620.00","22,255.00","2.00K","-1.48%"
"08-04-2026","22,685.00","22,690.00","22,980.00","22,640.00","2.74K","0.60%"
"07-04-2026","22,550.00","22,630.00","22,680.00","22,505.00","1.15K","-0.86%"
"06-04-2026","22,745.00","22,560.00","22,850.00","22,490.00","2.14K","0.64%"
"02-04-2026","22,600.00","22,250.00","22,770.00","22,220.00","2.23K","1.19%"
"01-04-2026","22,335.00","22,650.00","22,650.00","22,300.00","1.05K","0.31%"
"30-03-2026","22,265.00","22,110.00","22,360.00","21,970.00","1.01K","0.50%"
"27-03-2026","22,155.00","22,300.00","22,300.00","22,065.00","0.30K","-0.81%"
"25-03-2026","22,335.00","22,305.00","22,485.00","22,260.00","0.36K","0.59%"
